column	type	label	min	max
InfectInflam_OBGYN_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for OBGYN-associated infections 1-10 years prior to index date	9862	20961
InfectInflam_Limb_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting limbs 1-10 years prior to index date	0	1
InfectInflam_Limb_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting limbs 1-10 years prior to index date	10934	21136
InfectInflam_Skin_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting skin 1-10 years prior to index date	0	1
InfectInflam_Skin_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting skin 1-10 years prior to index date	9862	21300
InfectInflam_Bone_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting bones and soft tissue 1-10 years prior to index date	0	1
InfectInflam_Bone_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting bones and soft tissue 1-10 years prior to index date	11449	20807
InfectInflam_Septi_lt10	numeric	Flag: Ever have a MEDCODE for septicaemia 1-10 years prior to index date	0	1
InfectInflam_Septi_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for septicaemia 1-10 years prior to index date	11445	20771
InfectInflam_Enceph_lt10	numeric	Flag: Ever have a MEDCODE for encephalitis 1-10 years prior to index date	0	1
InfectInflam_Enceph_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for encephalitis 1-10 years prior to index date	11981	12841
InfectInflam_Flu_lt10	numeric	Flag: Ever have a MEDCODE for influenza 1-10 years prior to index date	0	1
InfectInflam_Flu_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for influenza 1-10 years prior to index date	9862	20398
InfectInflam_Malaria_lt10	numeric	Flag: Ever have a MEDCODE for malaria 1-10 years prior to index date	0	1
InfectInflam_Malaria_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for malaria 1-10 years prior to index date	12429	21117
InfectInflam_Shingles_lt10	numeric	Flag: Ever have a MEDCODE for shingles 1-10 years prior to index date	0	1
InfectInflam_Shingles_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for shingles 1-10 years prior to index date	10227	21389
InfectInflam_Dental_lt10	numeric	Flag: Ever have a MEDCODE for dental issues 1-10 years prior to index date	0	1
InfectInflam_Dental_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for dental issues 1-10 years prior to index date	11240	20515
InfectInflam_Resp_lt10	numeric	Flag: Ever have a MEDCODE for respiratory infections 1-10 years prior to index date	0	1
InfectInflam_Resp_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for respiratory infections 1-10 years prior to index date	10227	21280
InfectInflam_UResp_lt10	numeric	Flag: Ever have a MEDCODE for upper respiratory infections 1-10 years prior to index date	0	1
InfectInflam_UResp_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for upper respiratory infections 1-10 years prior to index date	9862	21360
InfectInflam_Arthrit_lt10	numeric	Flag: Ever have a MEDCODE for arthritis 1-10 years prior to index date	0	1
InfectInflam_Arthrit_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for arthritis 1-10 years prior to index date	10761	20971
InfectInflam_Gout_lt10	numeric	Flag: Ever have a MEDCODE for gout 1-10 years prior to index date	0	1
InfectInflam_Gout_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for gout 1-10 years prior to index date	9862	21087
InfectInflam_AI_lt10	numeric	Flag: Ever have a MEDCODE for autoimmune conditions 1-10 years prior to index date	0	1
InfectInflam_AI_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for autoimmune conditions 1-10 years prior to index date	9862	21474
InfectInflam_AI_IBD_lt10	numeric	Flag: Ever have a MEDCODE for IBD 1-10 years prior to index date	0	1
InfectInflam_AI_IBD_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for IBD 1-10 years prior to index date	10862	20216
InfectInflam_AI_RA_lt10	numeric	Flag: Ever have a MEDCODE for rheumatoid arthritis 1-10 years prior to index date	0	1
InfectInflam_AI_RA_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for rheumatoid arthritis 1-10 years prior to index date	10227	21397
InfectInflam_AI_Psor_lt10	numeric	Flag: Ever have a MEDCODE for psoriasis 1-10 years prior to index date	0	1
InfectInflam_AI_Psor_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for psoriasis 1-10 years prior to index date	9862	21283
InfectInflam_AI_other_lt10	numeric	Flag: Ever have a MEDCODE for other autoimmune conditions 1-10 years prior to index date	0	1
InfectInflam_AI_other_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other autoimmune conditions 1-10 years prior to index date	9862	21467
InfectInflam_AI_LThy_lt10	numeric	Flag: Ever have a MEDCODE for hypothyroidism 1-10 years prior to index date	0	1
InfectInflam_AI_LThy_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hypothyroidism 1-10 years prior to index date	9862	21474
InfectInflam_AI_DMT1_lt10	numeric	Flag: Ever have a MEDCODE for type 1 diabetes 1-10 years prior to index date	0	1
InfectInflam_AI_DMT1_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for type 1 diabetes 1-10 years prior to index date	10084	20704
InfectInflam_COPD_lt10	numeric	Flag: Ever have a MEDCODE for COPD 1-10 years prior to index date	0	1
InfectInflam_COPD_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for COPD 1-10 years prior to index date	9862	21251
CVD_lt10	numeric	Flag: Ever have a MEDCODE for cardiovascular disease 1-10 years prior to index date	0	1
CVD_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for cardiovascular disease 1-10 years prior to index date	9862	21489
CVD_ValveProblem_lt10	numeric	Flag: Ever have a MEDCODE for valve problem 1-10 years prior to index date	0	1
CVD_ValveProblem_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for valve problem 1-10 years prior to index date	11688	20612
CVD_CHD_lt10	numeric	Flag: Ever have a MEDCODE for coronary heart disease 1-10 years prior to index date	0	1
CVD_CHD_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for coronary heart disease 1-10 years prior to index date	9862	21406
CVD_CHD_Angina_lt10	numeric	Flag: Ever have a MEDCODE for angina 1-10 years prior to index date	0	1
CVD_CHD_Angina_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for angina 1-10 years prior to index date	9862	21341
CVD_CHD_Infarction_lt10	numeric	Flag: Ever have a MEDCODE for infarction 1-10 years prior to index date	0	1
CVD_CHD_Infarction_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infarction 1-10 years prior to index date	9862	21406
CVD_HF_lt10	numeric	Flag: Ever have a MEDCODE for heart failure 1-10 years prior to index date	0	1
CVD_HF_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for heart failure 1-10 years prior to index date	9862	21314
CVD_HF_Precursor_lt10	numeric	Flag: Ever have a MEDCODE for precursor to heart failure 1-10 years prior to index date	0	1
CVD_HF_Precursor_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for precursor to heart failure 1-10 years prior to index date	9862	21314
CVD_HF_Failure_lt10	numeric	Flag: Ever have a MEDCODE for actual heart failure 1-10 years prior to index date	0	1
CVD_HF_Failure_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for actual heart failure 1-10 years prior to index date	10227	21367
CVD_Hypertension_lt10	numeric	Flag: Ever have a MEDCODE for hypertension 1-10 years prior to index date	0	1
CVD_Hypertension_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hypertension 1-10 years prior to index date	9862	21482
CVD_Arrhythmia_lt10	numeric	Flag: Ever have a MEDCODE for arrhythmia 1-10 years prior to index date	0	1
CVD_Arrhythmia_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for arrhythmia 1-10 years prior to index date	9862	21489
CVD_Dyslipidemia_lt10	numeric	Flag: Ever have a MEDCODE for dyslipidemia 1-10 years prior to index date	0	1
CVD_Dyslipidemia_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for dyslipidemia 1-10 years prior to index date	10105	21409
CVD_PVD_lt10	numeric	Flag: Ever have a MEDCODE for peripheral vascular disease 1-10 years prior to index date	0	1
CVD_PVD_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for peripheral vascular disease 1-10 years prior to index date	11015	20963
KidneyDisease_lt10	numeric	Flag: Ever have a MEDCODE for kidney disease 1-10 years prior to index date	0	1
KidneyDisease_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for kidney disease 1-10 years prior to index date	11791	21384
Thrombosis_lt10	numeric	Flag: Ever have a MEDCODE for thrombosis 1-10 years prior to index date	0	1
Thrombosis_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for thrombosis 1-10 years prior to index date	10227	21227
Thrombosis_Vein_lt10	numeric	Flag: Ever have a MEDCODE for non-CHD thrombosis - vein thrombosis/coagulation problem 1-10 years prior to index date	0	1
Thrombosis_Vein_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for non-CHD thrombosis - vein thrombosis/coagulation problem 1-10 years prior to index date	10227	21227
Allergy_lt10	numeric	Flag: Ever have a MEDCODE for allergy 1-10 years prior to index date	0	1
Allergy_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for allergy 1-10 years prior to index date	9862	21467
Allergy_Asthma_lt10	numeric	Flag: Ever have a MEDCODE for asthma 1-10 years prior to index date	0	1
Allergy_Asthma_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for asthma 1-10 years prior to index date	9862	21251
Allergy_Eczema_lt10	numeric	Flag: Ever have a MEDCODE for eczema 1-10 years prior to index date	0	1
Allergy_Eczema_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for eczema 1-10 years prior to index date	9862	21467
Allergy_Hayfever_lt10	numeric	Flag: Ever have a MEDCODE for hay fever 1-10 years prior to index date	0	1
Allergy_Hayfever_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hay fever 1-10 years prior to index date	9862	21173
Allergy_Other_lt10	numeric	Flag: Ever have a MEDCODE for other allergies 1-10 years prior to index date	0	1
Allergy_Other_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other allergies 1-10 years prior to index date	9982	21413
Diabetes_lt10	numeric	Flag: Ever have a MEDCODE for diabetes 1-10 years prior to index date	0	1
Diabetes_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for diabetes 1-10 years prior to index date	10084	21361
Diabetes_DMT2_lt10	numeric	Flag: Ever have a MEDCODE for type 2 diabetes 1-10 years prior to index date	0	1
Diabetes_DMT2_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for type 2 diabetes 1-10 years prior to index date	10227	21346
PolCystFibro_lt10	numeric	Flag: Ever have a MEDCODE for polyps, cysts and fibrosis 1-10 years prior to index date	0	1
PolCystFibro_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for polyps, cysts and fibrosis 1-10 years prior to index date	9862	21402
PolCystFibro_BNeo_lt10	numeric	Flag: Ever have a MEDCODE for benign neoplasms 1-10 years prior to index date	0	1
PolCystFibro_BNeo_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for benign neoplasms 1-10 years prior to index date	10227	21272
PolCystFibro_BNeo_CR_lt10	numeric	Flag: Ever have a MEDCODE for colorectal polyps 1-10 years prior to index date	0	1
PolCystFibro_BNeo_CR_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for colorectal polyps 1-10 years prior to index date	10807	20962
PolCystFibro_Fem_lt10	numeric	Flag: Ever have a MEDCODE for female polyps or cysts 1-10 years prior to index date	0	1
PolCystFibro_Fem_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for female polyps or cysts 1-10 years prior to index date	9862	20669
PolCystFibro_CystSkin_lt10	numeric	Flag: Ever have a MEDCODE for skin cysts 1-10 years prior to index date	0	1
PolCystFibro_CystSkin_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for skin cysts 1-10 years prior to index date	10227	21402
PolCystFibro_CystOth_lt10	numeric	Flag: Ever have a MEDCODE for other cysts 1-10 years prior to index date	0	1
PolCystFibro_CystOth_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other cysts 1-10 years prior to index date	10958	20688
EyeConditions_lt10	numeric	Flag: Ever have a MEDCODE for eye conditions 1-10 years prior to index date	0	1
EyeConditions_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for eye conditions 1-10 years prior to index date	9862	21396
EyeConditions_Glau_lt10	numeric	Flag: Ever have a MEDCODE for glaucoma 1-10 years prior to index date	0	1
EyeConditions_Glau_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for glaucoma 1-10 years prior to index date	10227	21396
EyeConditions_MacDeg_lt10	numeric	Flag: Ever have a MEDCODE for macular degeneration 1-10 years prior to index date	0	1
EyeConditions_MacDeg_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for macular degeneration 1-10 years prior to index date	11323	21167
EyeConditions_Other_lt10	numeric	Flag: Ever have a MEDCODE for other eye conditions 1-10 years prior to index date	0	1
EyeConditions_Other_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other eye conditions 1-10 years prior to index date	10832	20963
EyeConditions_Cata_lt10	numeric	Flag: Ever have a MEDCODE for cataracts  1-10 years prior to index date	0	1
EyeConditions_Cata_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for cataracts  1-10 years prior to index date	9862	21200
VaricoseVeins_lt10	numeric	Flag: Ever have a MEDCODE for varicose veins 1-10 years prior to index date	0	1
VaricoseVeins_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for varicose veins 1-10 years prior to index date	9862	20965
StrokeRelated_lt10	numeric	Flag: Ever have a MEDCODE for stroke-related 1-10 years prior to index date	0	1
StrokeRelated_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for stroke-related 1-10 years prior to index date	10105	21234
StrokeRelated_Stroke_lt10	numeric	Flag: Ever have a MEDCODE for stroke 1-10 years prior to index date	0	1
StrokeRelated_Stroke_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for stroke 1-10 years prior to index date	10105	21327
StrokeRelated_TIA_lt10	numeric	Flag: Ever have a MEDCODE for TIA 1-10 years prior to index date	0	1
StrokeRelated_TIA_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for TIA 1-10 years prior to index date	10540	21171
Osteoarthritis_lt10	numeric	Flag: Ever have a MEDCODE for osteoarthritis 1-10 years prior to index date	0	1
Osteoarthritis_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for osteoarthritis 1-10 years prior to index date	9862	21220
Osteoporosis_lt10	numeric	Flag: Ever have a MEDCODE for osteoporosis 1-10 years prior to index date	0	1
Osteoporosis_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for osteoporosis 1-10 years prior to index date	10593	21321
Anemia_lt10	numeric	Flag: Ever have a MEDCODE for anemia 1-10 years prior to index date	0	1
Anemia_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for anemia 1-10 years prior to index date	9862	21089
ThyroidDisease_lt10	numeric	Flag: Ever have a MEDCODE for thyroid disease 1-10 years prior to index date	0	1
ThyroidDisease_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for thyroid disease 1-10 years prior to index date	10805	21278
WeightProb_lt10	numeric	Flag: Ever have a MEDCODE for weight problems 1-10 years prior to index date	0	1
WeightProb_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for weight problems 1-10 years prior to index date	9862	21137
WeightProb_Overweight_lt10	numeric	Flag: Ever have a MEDCODE for overweight 1-10 years prior to index date	0	1
WeightProb_Overweight_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for overweight 1-10 years prior to index date	11169	21137
WeightProb_Obese_lt10	numeric	Flag: Ever have a MEDCODE for obesity 1-10 years prior to index date	0	1
WeightProb_Obese_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for obesity 1-10 years prior to index date	9862	20929
InSitu_lt10	numeric	Flag: Ever have a MEDCODE for  in-situ cancers 1-10 years prior to index date	0	1
InSitu_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for  in-situ cancers 1-10 years prior to index date	10227	21385
Gallbladder_lt10	numeric	Flag: Ever have a MEDCODE for gallbladder 1-10 years prior to index date	0	1
Gallbladder_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for gallbladder 1-10 years prior to index date	9862	21002
Psychiatric_lt10	numeric	Flag: Ever have a MEDCODE for psychiatric disorders 1-10 years prior to index date	0	1
Psychiatric_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for psychiatric disorders 1-10 years prior to index date	9862	21216
Psychiatric_Depress_lt10	numeric	Flag: Ever have a MEDCODE for depression 1-10 years prior to index date	0	1
Psychiatric_Depress_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for depression 1-10 years prior to index date	9862	21216
Psychiartic_Anxiety_lt10	numeric	Flag: Ever have a MEDCODE for anxiety 1-10 years prior to index date	0	1
Psychiartic_Anxiety_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for anxiety 1-10 years prior to index date	10681	21216
Psychiatric_Panic_lt10	numeric	Flag: Ever have a MEDCODE for panic disorders 1-10 years prior to index date	0	1
Psychiatric_Panic_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for panic disorders 1-10 years prior to index date	10227	21278
Psychiatric_Other_lt10	numeric	Flag: Ever have a MEDCODE for other psychiatric disorders 1-10 years prior to index date	0	1
Psychiatric_Other_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other psychiatric disorders 1-10 years prior to index date	9959	21063
Hernia_lt10	numeric	Flag: Ever have a MEDCODE for hernia 1-10 years prior to index date	0	1
Hernia_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hernia 1-10 years prior to index date	9862	21180
NeuroDis_lt10	numeric	Flag: Ever have a MEDCODE for neurological problems/disorders 1-10 years prior to index date	0	1
NeuroDis_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for neurological problems/disorders 1-10 years prior to index date	9862	21339
NeuroDis_Epilepsy_lt10	numeric	Flag: Ever have a MEDCODE for epilepsy 1-10 years prior to index date	0	1
NeuroDis_Epilepsy_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for epilepsy 1-10 years prior to index date	9862	20195
NeuroDis_PainSens_lt10	numeric	Flag: Ever have a MEDCODE for pain or strange sensations 1-10 years prior to index date	0	1
NeuroDis_PainSens_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for pain or strange sensations 1-10 years prior to index date	9862	21339
NeuroDis_Park_lt10	numeric	Flag: Ever have a MEDCODE for Parkinsons 1-10 years prior to index date	0	1
NeuroDis_Park_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for Parkinsons 1-10 years prior to index date	10896	21140
NeuroDis_MS_lt10	numeric	Flag: Ever have a MEDCODE for multiple sclerosis 1-10 years prior to index date	0	1
NeuroDis_MS_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for multiple sclerosis 1-10 years prior to index date	12157	20066
DementiaAlzheimers_lt10	numeric	Flag: Ever have a MEDCODE for dementia/Alzheimers 1-10 years prior to index date	0	1
DementiaAlzheimers_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for dementia/Alzheimers 1-10 years prior to index date	10700	21364
Alcohol_lt10	numeric	Flag: Ever have a MEDCODE for alcohol 1-10 years prior to index date	0	1
Alcohol_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for alcohol 1-10 years prior to index date	9862	21430
Alcohol_Former_lt10	numeric	Flag: Ever have a MEDCODE for former alcohol consumption 1-10 years prior to index date	0	1
Alcohol_Former_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for former alcohol consumption 1-10 years prior to index date	11263	21322
Alcohol_None_lt10	numeric	Flag: Ever have a MEDCODE for no alcohol consumption 1-10 years prior to index date	0	1
Alcohol_None_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for no alcohol consumption 1-10 years prior to index date	10310	21392
Alcohol_Consume_lt10	numeric	Flag: Ever have a MEDCODE for alcohol consumption 1-10 years prior to index date	0	1
Alcohol_Consume_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for alcohol consumption 1-10 years prior to index date	10227	21430
Alcohol_Consume_Low_lt10	numeric	Flag: Ever have a MEDCODE for alcohol consumption - light 1-10 years prior to index date	0	1
Alcohol_Consume_Low_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for alcohol consumption - light 1-10 years prior to index date	10227	21328
Alcohol_Consume_High_lt10	numeric	Flag: Ever have a MEDCODE for alcohol consumption - heavy 1-10 years prior to index date	0	1
